address, latitude, longitude
"2000 S 2600 E, Salt Lake City, Utah",40.726737,-111.816378
"300 N 4150 W, Salt Lake City, Utah",40.7759313,-111.8896534
"500 E 3300 S, Salt Lake City, Utah",40.699754,-111.877037
"400 N STATE ST, Salt Lake City, Utah",40.7319301,-111.8881297
"900 S 700 W, Salt Lake City, Utah",40.749324,-111.911208
"1500 E SHERMAN AVE, Salt Lake City, Utah",40.740649,-111.846599
"100 N ARLINGTON CIR, Salt Lake City, Utah",40.773819,-111.843219
"200 W 600 N, Salt Lake City, Utah",40.782468,-111.896984
"3200 W NORTH TEMPLE RAMP, Salt Lake City, Utah",0,0
"1900 W SIR ROBERT DR, Salt Lake City, Utah",0,0
"200 N D ST, Salt Lake City, Utah",0,0
"800 W MONTAGUE AVE, Salt Lake City, Utah",0,0
"1300 S TYLER ST, Salt Lake City, Utah",0,0
"1300 E HARVARD AVE, Salt Lake City, Utah",0,0
"20O N 1000 W, Salt Lake City, Utah",0,0
"000 CONNOR ST, Salt Lake City, Utah",40.7299581,-111.8285412
"1900 S 1900 E, Salt Lake City, Utah",40.729025,-111.836621
"SUNNYSIDE AVE / DIESTEL RD, Salt Lake City, Utah",0,0
"AMERICAN BEAUTY DR / STERLING DR, Salt Lake City, Utah",0,0
"100 E CLINTON AVE, Salt Lake City, Utah",40.783386,-111.895385
"1300 N OAKLEY ST, Salt Lake City, Utah",40.7963255757323,-111.9270560662
"2300 W 4805 S, Salt Lake City, Utah",40.7835873,-111.956005
"500 S BANGERTER SOUTHBOUND HWY, Salt Lake City, Utah",0,0
"500 S 400 W, Salt Lake City, Utah",40.758401,-111.879475
"1200 N 1300 W, Salt Lake City, Utah",40.794972,-111.9293
"500 E / 200 S, Salt Lake City, Utah",40.765078,-111.905605
"200 W PIERPONT AVE, Salt Lake City, Utah",40.7646976,-111.9309925
"6000 S 2600 W, Salt Lake City, Utah",0,0
"1200 W 1200 N, Salt Lake City, Utah",40.794975,-111.9258838
"00 W VAN BUREN AVE, Salt Lake City, Utah",0,0
"00 E GRAY AVE, Salt Lake City, Utah",0,0
"GLADIOLA ST / DIRECTORS RW, Salt Lake City, Utah",0,0
"1400 W DALE AVE, Salt Lake City, Utah",0,0
"500 N RIVERSIDE DR, Salt Lake City, Utah",40.781939,-111.936967
"000 E ST, Salt Lake City, Utah",40.7773859,-111.8775737
"300 S MONTGOMERY ST, Salt Lake City, Utah",0,0
"1000 S WINDING RIVER COVE, Salt Lake City, Utah",0,0
"FOOTHILL DR / HUBBARD AVE, Salt Lake City, Utah",0,0
"1700 S BLAIR ST, Salt Lake City, Utah",0,0
"1200 N OAKLEY ST, Salt Lake City, Utah",0,0
"MAIN ST / COATSVILLE AVE, Salt Lake City, Utah",40.7314479,-111.8654524
"1000 W DUPONT AVE, Salt Lake City, Utah",0,0
"1300 S CHEYENNE ST, Salt Lake City, Utah",0,0
"500 E 4TH AVE, Salt Lake City, Utah",40.7739661,-111.8857765
"1100 N OAK FOREST RD, Salt Lake City, Utah",0,0
"00 N H ST, Salt Lake City, Utah",40.7773167,-111.8730491
"2ND AVE / J ST, Salt Lake City, Utah",40.7706891424836,-111.870175912092
"100 E EDGECOMBE DR, Salt Lake City, Utah",0,0
"400 E BISHOP FEDERAL LN, Salt Lake City, Utah",40.727957,-111.876927
"500 N COLORADO ST, Salt Lake City, Utah",40.780325,-111.929629
"300 W VAN BUREN AVE, Salt Lake City, Utah",40.736093,-111.899818
"3700 W CALIFORNIA AVE, Salt Lake City, Utah",0,0
"1100 W DALTON AVE, Salt Lake City, Utah",40.746004,-111.922444
"700 S PUEBLO ST, Salt Lake City, Utah",0,0
"10000 S CENTENNIAL PKY, Salt Lake City, Utah",0,0
"500 S 900 E, Salt Lake City, Utah",40.758542,-111.916987
"2000 E ASHTON CIR, Salt Lake City, Utah",0,0
"1900 S VIEW ST, Salt Lake City, Utah",40.7285053125443,-111.852488176386
"2100 S 2100 E, Salt Lake City, Utah",40.725367,-111.830909
"000 W 400 S, Salt Lake City, Utah",40.7607319,-111.8910769
"DULUTH AVE / CHICAGO ST, Salt Lake City, Utah",0,0
"1300 E WOODLAND AVE, Salt Lake City, Utah",0,0
"100 W FREEMONT AVE, Salt Lake City, Utah",0,0
"1300 S / 300 E, Salt Lake City, Utah",40.741538,-111.882321
"SUNNYSIDE AVE / FOOTHILL DR, Salt Lake City, Utah",0,0
"200 N M ST, Salt Lake City, Utah",0,0
"500 S GALE ST, Salt Lake City, Utah",0,0
"1000 W CANNON AVE, Salt Lake City, Utah",0,0
"1900 S MILESTONE DR, Salt Lake City, Utah",40.7311932,-111.9648643
"5100 S 1000 E, Salt Lake City, Utah",40.724343,-111.862674
"500 S GLADIOLA ST, Salt Lake City, Utah",0,0
"800 W RIVER TRAIL TE, Salt Lake City, Utah",0,0
"1100 N SATORI CIR, Salt Lake City, Utah",0,0
"WASATCH DR / ST MARYS DR, Salt Lake City, Utah",0,0
"2500 W N TEMPLE ST, Salt Lake City, Utah",0,0
"00 E 400 S, Salt Lake City, Utah",40.7607638,-111.8709447
"7700 S MAIN ST, Salt Lake City, Utah",40.7651388,-111.8911802
"1000 S 1700 E, Salt Lake City, Utah",40.746766,-111.842368
"4200 W S.R. 186 WB, Salt Lake City, Utah",0,0
"2ND AVE / G ST, Salt Lake City, Utah",40.769474,-111.874443
"800 S MAIN ST, Salt Lake City, Utah",40.751827,-111.891189
"1400 S 600 E, Salt Lake City, Utah",40.7394993269237,-111.87402
"000 AMERICAN AVE, Salt Lake City, Utah",40.7482929,-111.9321635
"800 S 200 W, Salt Lake City, Utah",40.751872,-111.885199
"1100 W FREMONT AVE, Salt Lake City, Utah",40.745071,-111.922441
"KENSINGTON AVE / MAIN ST, Salt Lake City, Utah",40.7364458,-111.8394611
"3200 W 2100 S, Salt Lake City, Utah",40.813161,-111.96764
"500 E 1300 S, Salt Lake City, Utah",40.741542,-111.876608
"1900 S 800 E, Salt Lake City, Utah",40.7287533333333,-111.868302666667
"3800 W 500 S, Salt Lake City, Utah",40.7589404,-111.9111813
"2900 E BENCHMARK DR, Salt Lake City, Utah",0,0
"200 N 4100 W, Salt Lake City, Utah",40.77368755,-111.897270771258
"14000 S PONY EXPRESS RD, Salt Lake City, Utah",0,0
"ADMIRAL BYRD RD / AMELIA EARHART DR, Salt Lake City, Utah",0,0
"300 NORTH 2300 WEST, Salt Lake City, Utah",40.7835873,-111.956005
"1700 S BAMBROUGH PL, Salt Lake City, Utah",0,0
"4900 W 4865 S, Salt Lake City, Utah",0,0
"00 REGENT ST, Salt Lake City, Utah",40.7670226,-111.88975
"2300 WEST S.R. 186, Salt Lake City, Utah",0,0
"100 GOLTZ ST, Salt Lake City, Utah",0,0
"1000 W 900 S, Salt Lake City, Utah",40.7493055,-111.9551807
"1100 S DOUGLAS ST, Salt Lake City, Utah",0,0
"900 S 1100 W, Salt Lake City, Utah",40.75015,-111.922205
"300 S PUEBLO ST, Salt Lake City, Utah",0,0
"100 S 500 W, Salt Lake City, Utah",40.771815,-111.905485
"000 17TH AVE, Salt Lake City, Utah",40.7881897,-111.868089
"4500 S EDGEWARE LN, Salt Lake City, Utah",0,0
"100 E 2100 S, Salt Lake City, Utah",40.7254965,-111.8416669
"2000 S PIONEER RD, Salt Lake City, Utah",0,0
"VIRGINIA ST / CHANDLER DR, Salt Lake City, Utah",0,0
"2200 W OLD STATE ROAD 86, Salt Lake City, Utah",0,0
"1300 S RICHARD ST, Salt Lake City, Utah",0,0
"100 S 300 E, Salt Lake City, Utah",40.767253,-111.899835
"1100 W 600 S, Salt Lake City, Utah",40.7825,-111.922395
"1100 S 400 E, Salt Lake City, Utah",40.745138666956,-111.879738
"000 LE GRAND ST, Salt Lake City, Utah",40.748881,-111.8386817
"100 N 4100 W, Salt Lake City, Utah",40.770482,-111.9664587
"200 N 2100 W, Salt Lake City, Utah",40.7738969963666,-111.952199588696
"1800 E 500 S, Salt Lake City, Utah",40.7584387,-111.8413616
"1100 S SANTA YNEZ CIR, Salt Lake City, Utah",0,0
"1100 W ARAPAHOE AVE, Salt Lake City, Utah",40.755079,-111.923045
"1000 S MAIN, Salt Lake City, Utah",0,0
"1900 W 900 N, Salt Lake City, Utah",40.7891010666667,-111.944658733333
"600 N / 300 W, Salt Lake City, Utah",40.782509,-111.899574
"QUAYLE AVE / MAIN ST, Salt Lake City, Utah",40.7317637,-111.8925671
"00 N STATE ST, Salt Lake City, Utah",40.7720465,-111.8881855
"800 W 200 S, Salt Lake City, Utah",40.765073,-111.914082
"000 N H ST, Salt Lake City, Utah",40.7773167,-111.8730491
"2200 E HOLLYWOOD AVE, Salt Lake City, Utah",40.727523,-111.827243
